label,centros,type,competencias,lineas
1451,50010958,recm,"Competencia en comunicación lingüística,Aprender a aprender","Comunicación oral, Metodologías activas,"
1452,50010958,recm,Competencias sociales y cívicas,Gestión de las emociones
1453,22002508,recm,"Competencia en comunicación lingüística,Aprender a aprender",Comunicación oral
1454,50018246,recm,Competencia en comunicación lingüística,Comunicación oral
1455,"50017448,50018246,50018283,50011380,50018271,50011422,50009208,50017916,50007674,50011239,50018817",recm,"Competencia matemática y competencias básicas en ciencia y tecnología,Competencia digital,Competencia en comunicación lingüística,Aprender a aprender,Competencias sociales y cívicas,Sentido de la iniciativa y espíritu emprendedor,Conciencia y expresiones culturales",TAC (Tecnologías del Aprendizaje y del Conocimiento)
1456,50005641,recm,Competencia matemática y competencias básicas en ciencia y tecnología,Metodologías activas
1457,"50017451,50005574,50008691,50018817,50019019,22001437",recm,Aprender a aprender,Gestión de las emociones
1479,"50001775,4400215",recm,"Competencia digital,Aprender a aprender","TAC (Tecnologías del Aprendizaje y del Conocimiento),Metodologías activas"
1480,50001775,recm,,"Gestión de las emociones,Compromiso social"
1487,44003715,recm,"Competencia en comunicación lingüística, Conciencia y expresiones culturales,","Comunicación oral, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1500,"50008691,5000869",recm,"Competencia digital, Competencias sociales y cívicas,","TAC (Tecnologías del Aprendizaje y del Conocimiento), Metodologías activas,"
1502,50008617,recm,"Aprender a aprender, Competencia digital,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1508,22000299,recm,"Competencias sociales y cívicas, Sentido de la iniciativa y espíritu emprendedor,","Gestión de las emociones,"
1515,50010946,recm,"Competencia digital, Competencia matemática y competencias básicas en ciencia y tecnología, Aprender a aprender,","TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1562,50009208,recm,"Competencia matemática y competencias básicas en ciencia y tecnología, Aprender a aprender,","Metodologías activas,"
1569,,recm,"Competencia matemática y competencias básicas en ciencia y tecnología,","TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1576,50006669,recm,"Aprender a aprender, Competencia matemática y competencias básicas en ciencia y tecnología,","Metodologías activas,"
1604,50001350,recm,"Competencia matemática y competencias básicas en ciencia y tecnología, Aprender a aprender,","Metodologías activas, TAC (Tecnologías del Aprendizaje y del Conocimiento),"
1614,50006669,recm,"Competencia digital, Competencia en comunicación lingüística, Competencia matemática y competencias básicas en ciencia y tecnología, Competencias sociales y cívicas, Conciencia y expresiones culturales, Sentido de la iniciativa y espíritu emprendedor, Aprender a aprender,","Metodologías activas,"
