label,webproyecto,responsables,contacto,institucional,pagina,type,link
Creación y lectura de Kamishibais,,Claustro de profesores del CEIP &quot;Domingo Miral&quot;,,0,1630,rec,https://www.youtube.com/watch?v=tejzw_oXXxo
Creative ebook musical interactivo,https://proyectocreativate15.wordpress.com,Sonia Muslares Miranda,,1,1446,rec,https://youtu.be/aX6rx7X63k0
Creative learning and teaching in Secondary Bilingual Education,,Noelia Mayoral,,0,1451,rec,
Crecer en relación,http://cphiszar.educa.aragon.es/es/inicio,Concepción Mérida Caraballo,,0,1777,rec,https://youtu.be/IyJf_wvpdHk
Creciendo en inclusión: la banda de jazz,https://sites.google.com/view/labandadejazz/p%C3%A1gina-principal,Mercedes Martínez y Concepción Mérida,,1,1898,rec,https://www.youtube.com/watch?v=iutJI3bazgQ&amp;t=12s
Cuadernos inteligentes/Smart notebooks,,Belén Embid,,0,1438,rec,https://youtu.be/QCr3OgCpCkM
De las TIC a las TAC: repensando la web del centro,,Francisco Luis Alda Bueno,,0,1886,rec,https://www.youtube.com/watch?v=aUcIUfe479I&amp;feature=youtu.be
Desarrollo de capacidades,,Miriam Martín Balgañón,,1,1648,rec,http://www.colegiovaldespartera.es/index.php?option=com_content&amp;view=category&amp;layout=blog&amp;id=109&amp;Itemid=130
Desarrollo programa POLE en el CEIP San Miguel,,,,1,1400,rec,https://youtu.be/0xoa_8U6cJg
Descubrimientos de las simetrías en los fósiles para niños con capacidades diversas,,"Cristina Bravo, Inmaculada Zegri, Antonio López Polo",,0,1701,rec,https://www.youtube.com/watch?v=nu75N5lSRLA&amp;feature=em-upload_owner
DESIGN FOR CHANGE,http://www.dfcspain.com/,Lucio Manuel Callejas Mellado DIRECTOR CEIP &quot;FERNANDO EL CATÓLICO&quot;,,0,1738,rec,DESIGN FOR CHANGEx.pdf
Do It Yourself! Imagination &amp; Creation,http://convocatorias.educa.aragon.es/formulario/upload/IEPR2015160034-907019_DO%20IT%20YOURSELF%20CANDIDO%20DOMINGO.pdf,,,0,1781,rec,
Does size matter? ¿Importa el tamaño?,,,,0,1399,rec,https://youtu.be/RdO_ez8REx4
Dos historias diferentes,http://www.cpavzara.educa.aragon.es/inicio/index.html,,,1,1354,rec,https://youtu.be/J4lVWUrXD0A
E-TWINNING,http://cpfec.blogspot.com.es/   https://www.etwinning.net/es/pub/index.htm,Departamento de Inglés del CEIP Fernando el Católico,,1,1791,rec,https://www.youtube.com/watch?v=E484yOdraTQ
