label	ComposerLast	ComposerFirst	Composer	Work	Conductor	Performed	TimesPerf	NumConcerts	CumNumConcerts	NumHSOConcerts	CumNumHSOConcerts	Decade	First Date	Date	DayMonth	Year	Soloists	Comments	Venue	ConcertType	Chorus Conductor	Season	Sponsorship	Rating
Tchaikowsky - 1812 Overture 1990-07-04	Tchaikowsky	Pyotr Ilyich   	"Tchaikowsky, Pyotr Ilyich"	1812 Overture	"Wayland, Newton"	True	1	0	25	0	24	1990	7/4/1990	1990-07-04	4-Jul	1990		Miller Theater 4th of July Concert	Miller Theater	Classical	"Hausmann, Charles"	89-90	HSO	***
Various - Pops 1990-07-04	Various	    	Various	Pops	"Wayland, Newton"	True	1	1	25	1	24	1990	7/4/1990	1990-07-04	4-Jul	1990	"Manfredo Fest (guest artist, probably not vocal)"	"Miller Theater 4th of July Concert. In addition to 1812 overture, sang Texas Sing-along (arr Elam), Grand Patriotic Sing-along (arr Wayland)"	Miller Theater	Pops	"Hausmann, Charles"	89-90	HSO	**
"Mozart - Mass in C Minor, ""The Great"" 1990-07-21"	Mozart	Wolfgang Amadeus   	"Mozart, Wolfgang Amadeus"	"Mass in C Minor, ""The Great"""	"Eschenbach, Christoph"	True	1	1	26	1	25	1990	7/21/1990	1990-07-21	21-Jul	1990	"Heidi Grant Murphy (s), Lorraine Hunt (s), Stanford Olsen (t), Herbert Perry, (b)"	Heidi was just Heidi Grant at the time.	Houston	Classical	"Hausmann, Charles"	89-90	HSO	*****
Mahler - Symphony #3 1990-09-15	Mahler	Gustav    	"Mahler, Gustav"	Symphony #3	"Eschenbach, Christoph"	False	0	0	26	0	25	1990	9/15/1990	1990-09-15	15/16/17-Sep	1990	"Jard Van Nes (ms),"	HSC Women. With Singing Boys of Houston (Gary W. Patterson dir).	Houston	Classical	"Hausmann, Charles"	90-91	HSO	
Dawson - Ezekiel Saw de Wheel 1990-10-27	Dawson	William    	"Dawson, William"	Ezekiel Saw de Wheel	"Hausmann, Charles"	False	0	0	26	0	25	1990	10/27/1990	1990-10-27	27-Oct	1990	Steve Smith (narr)	"Joy of Music Concert, for handicapped, at First Baptist Church. Giselle Ben-Dor conducted HSO"	Houston	Pops	"Hausmann, Charles"	90-91	HSO	
Thompson - Peaceable Kingdom 1990-10-27	Thompson	Randall	"Thompson, Randall"	Peaceable Kingdom	"Hausmann, Charles"	False	0	0	26	0	25	1990	10/27/1990	1990-10-27	27-Oct	1990	Steve Smith (narr)	"Sang Have Ye Not Known amd Ye Shall Have a Song. Joy of Music Concert, for handicapped, at First Baptist Church. Giselle Ben-Dor conducted HSO"	Houston	Classical	"Hausmann, Charles"	90-91	HSO	
Lekberg - Let All the World in Every Corner Sing 1990-10-27	Lekberg	"Sven (Wds by Herbert, George)"	"Lekberg, Sven (Wds by Herbert, George)"	Let All the World in Every Corner Sing	"Hausmann, Charles"	False	0	0	26	0	25	1990	10/27/1990	1990-10-27	27-Oct	1990	Steve Smith (narr)	"Joy of Music Concert, for handicapped, at First Baptist Church. Giselle Ben-Dor conducted HSO"	Houston	General	"Hausmann, Charles"	90-91	HSO	
Howe - Battle Hymn of the Republic 1990-10-27	Howe	Julia Ward / Steffe / Wilhousky  	"Howe, Julia Ward / Steffe / Wilhousky"	Battle Hymn of the Republic	"Ben-Dor, Gisäle"	False	0	0	26	0	25	1990	10/27/1990	1990-10-27	27-Oct	1990	Steve Smith (narr)	"Joy of Music Concert, for handicapped, at First Baptist Church. Giselle Ben-Dor conducted HSO"	Houston	General	"Hausmann, Charles"	90-91	HSO	
Beethoven - Missa Solemnis 1990-11-12	Beethoven	Ludwig van   	"Beethoven, Ludwig van"	Missa Solemnis	"Eberhardt, Cornelius"	True	1	1	27	0	25	1990	11/12/1990	1990-11-12	12-Nov	1990	"Sharon Kenney (s), Carol Madalin (ms), Brian Skinner (t), Richard Owens (bar)"	"Concert with Corpus Christi Chorale, Del Mar Concert Choir, and Corpus Christi Symphony Orchestra, in Bayfront Plaza Auditorium, Corpus Christi. 30 HSC participants."	Corpus Christi	Classical	"Hausmann, Charles"	90-91	Independent	
Various - Christmas Pops 1990-12-13	Various	    	Various	Christmas Pops	"Ben-Dor, Gisäle"	True	4	4	31	4	29	1990	12/13/1990	1990-12-13	13/14/15/16-Dec	1990		13-Dec was Conoco Christmas Party	Houston	Pops	"Hausmann, Charles"	90-91	HSO	***
